national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
681,8.0,401,2200,3500,4700,414,1497,2858,4762,428,No,200,0.94,0.94,0,No,No,No,Yes,No,No
105,2.0,101,360,600,900,105,325,582,823,98,No,115,0.98,0.98,0,No,No,No,Yes,No,No
17,8.0,0,6,12,18,2,6,13,16,2,No,0,1.0,0.81,0,No,No,No,Yes,No,No
215,8.0,124,286,460,634,64,183,308,560,101,No,44,0.51,0.6,0,No,No,No,Yes,No,No
21,2.0,0,0,0,0,0,0,0,0,0,No,0,0.48,0.36,0,No,No,Yes,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
79,4.0,54,713,1221,1635,171,512,1014,1567,94,No,57,0.88,0.91,3,No,No,No,Yes,No,No
66,8.0,724,0,0,0,22,61,93,160,53,No,0,0.9,0.95,0,No,No,No,Yes,No,No
198,2.0,0,85,175,265,25,99,220,367,105,No,25,0.99,0.98,0,No,No,No,Yes,No,No
39,12.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
163,4.0,170,336,496,696,103,367,640,851,57,No,49,0.73,0.78,0,No,No,No,Yes,No,No
11,8.0,8,27,63,99,3,25,47,65,0,Yes,1,0.85,0.88,0,No,No,No,Yes,No,No
190,,0,0,0,0,2,11,14,21,0,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No,No
28,8.0,8,21,56,77,11,32,64,98,12,No,0,0.95,0.95,0,No,No,No,Yes,No,No
174,8.0,29,190,262,310,30,68,126,270,48,No,22,0.46,0.65,0,No,No,No,Yes,No,No
3,8.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.96,0,No,No,No,Yes,No,No
30,2.0,0,0,0,0,2,2,4,5,0,No,0,1.0,0.97,0,No,No,No,Yes,No,No
2,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
587,8.0,0,0,0,0,4,17,34,52,2,No,0,0.99,0.98,0,No,No,No,Yes,No,No
6790,8.0,225,0,0,0,584,1110,1742,2443,644,No,0,0.73,0.7,0,No,No,No,Yes,No,No
58,2.0,0,78,132,186,19,72,112,132,16,No,18,0.78,0.75,0,No,No,No,Yes,No,No
80,12.0,3,48,83,118,8,31,76,120,26,No,8,0.34,0.42,0,No,No,No,Yes,No,No
7,8.0,0,0,0,1,1,1,2,6,1,No,0,0.99,0.91,0,No,No,No,Yes,No,No
0,8.0,0,0,0,0,0,0,0,0,0,No,0,0.87,0.92,0,No,No,No,Yes,No,No
58,12.0,0,0,6,36,7,18,39,71,15,No,0,0.93,0.95,0,No,No,No,Yes,No,No
2,2.0,0,1,2,4,0,1,2,4,0,No,0,0.97,0.95,0,No,No,No,Yes,No,No
88,4.0,0,0,33,33,13,24,36,92,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
17,8.0,0,0,0,0,0,0,7,12,0,No,0,0.39,0.29,0,No,No,No,Yes,No,No
85,3.0,0,13,104,130,13,60,103,122,0,No,0,0.61,0.69,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
3,9.0,0,2,2,2,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
2,8.0,0,0,0,0,0,0,1,3,0,No,0,0.83,0.85,0,No,No,No,Yes,No,No
1166,,490,0,0,0,612,1838,3026,4958,516,No,0,-99.0,-99.0,0,No,No,No,No,No,No
9,3.0,0,0,0,0,0,8,10,10,0,No,0,0.89,0.9,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
15,10.0,0,2,2,2,9,13,26,34,0,No,0,0.82,0.77,0,No,No,No,Yes,No,No
153,4.0,4,0,62,124,43,104,181,409,37,No,0,0.98,0.96,0,No,No,No,Yes,No,No
27,8.0,0,72,96,120,32,99,210,492,35,No,24,0.89,0.8,4,No,No,No,Yes,No,No
115,2.0,0,0,0,0,3,8,14,26,0,No,0,0.95,0.95,0,No,No,No,Yes,No,No
2,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
10,8.0,0,6,12,12,3,6,9,17,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
0,8.0,0,0,0,0,0,0,0,0,0,No,0,0.94,0.92,0,No,No,No,Yes,No,No
2,,0,0,0,0,0,0,3,4,3,No,0,-99.0,-99.0,0,No,No,No,No,No,No
649,18.0,14,0,0,480,44,159,344,554,38,No,0,0.99,0.99,0,No,No,No,Yes,No,No
13,8.0,0,25,48,71,4,18,32,45,9,No,2,0.38,0.18,0,No,No,No,Yes,No,No
17,4.0,21,34,70,106,20,57,94,125,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
297,8.0,3,266,266,532,40,163,334,490,64,No,0,0.66,0.74,0,No,No,No,Yes,No,No
10,8.0,10,20,35,46,2,9,19,36,15,No,1,0.5,0.46,0,No,No,No,Yes,No,No
54677,8.0,288,48384,96768,138240,12955,41473,92752,132068,9672,No,0,0.55,0.74,0,No,No,No,Yes,No,No
40,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
22,8.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
58,8.0,0,0,0,0,0,0,0,0,0,No,0,1.0,1.0,0,No,No,No,Yes,No,No
45,2.0,0,0,0,0,0,0,0,0,0,No,0,0.89,0.89,0,Yes,No,No,Yes,No,No
22,,0,0,0,0,0,2,3,3,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
14,5.0,3,15,27,35,5,12,24,27,2,No,3,0.5,0.5,0,Yes,No,No,Yes,No,No
62,8.0,0,101,171,261,27,90,174,277,81,No,10,0.33,0.32,0,No,No,No,Yes,No,No
172,,0,0,0,0,0,0,2,3,1,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
4,2.0,25,0,0,0,11,14,14,14,0,No,0,0.78,0.84,0,Yes,No,No,Yes,No,No
3,9.0,0,0,0,0,0,0,1,1,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
10,0.0,0,10,10,10,1,11,15,18,1,No,0,0.0,0.0,0,No,No,Yes,Yes,No,No
98,,0,0,0,0,0,3,9,11,3,No,0,-99.0,-99.0,0,No,No,No,No,No,No
147,8.0,0,61,61,119,18,53,142,192,54,No,0,1.0,1.0,0,No,No,No,Yes,No,No
29,9.0,0,25,67,115,0,0,0,0,0,No,0,1.0,0.96,0,No,No,No,Yes,No,No
77,2.0,23,75,175,250,31,112,195,287,45,No,25,0.98,0.98,0,No,No,No,Yes,No,No
137,52.0,0,0,0,0,2,7,11,15,1,No,0,0.42,0.72,0,Yes,No,No,No,No,No
9,8.0,0,0,0,0,1,2,2,2,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
106,2.0,0,0,0,0,2,8,13,25,3,No,0,0.99,0.98,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
19,2.0,0,0,0,0,0,1,4,5,0,No,0,0.92,0.95,0,No,No,No,Yes,No,No
9,,0,0,0,0,1,2,5,8,2,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
319,8.0,0,0,0,0,4,33,77,109,18,No,0,0.07,0.2,0,Yes,No,No,Yes,No,No
810,8.0,0,0,0,0,40,210,370,570,48,No,0,1.0,1.0,0,No,No,No,Yes,No,No
19,4.0,2,5,16,22,1,6,16,23,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3,12.0,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
8,12.0,0,0,0,0,0,0,3,7,1,No,0,0.73,0.79,0,No,No,Yes,Yes,No,No
47,8.0,34,97,157,217,88,111,188,244,21,No,12,0.37,0.33,0,No,No,No,Yes,No,No
165,8.0,2,0,0,0,9,28,84,119,31,No,0,0.81,0.85,0,No,No,No,Yes,No,No
21,8.0,0,0,5,10,2,3,11,23,2,No,0,0.83,0.7,0,No,No,No,Yes,No,No
7,4.0,0,1,1,1,0,0,0,0,0,No,1,0.73,0.78,0,Yes,No,No,Yes,No,No
101,8.0,4,128,272,352,12,52,196,343,51,No,0,0.98,0.97,0,No,No,No,Yes,No,No
25,8.0,0,0,0,0,0,0,0,0,0,No,0,0.4,0.42,0,No,No,No,Yes,No,No
2,8.0,0,2,5,7,0,2,5,6,0,No,0,0.18,0.33,0,No,No,Yes,Yes,No,No
6,9.0,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,Yes,Yes,No,No
352,14.0,0,0,0,0,0,0,0,0,0,No,0,0.0,0.01,0,No,No,No,Yes,No,No
0,8.0,0,0,0,0,0,0,0,0,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
32,8.0,25,49,107,180,17,51,108,164,11,No,12,0.5,0.46,0,No,No,No,Yes,No,No
43,8.0,6,0,4,7,2,8,22,44,3,No,0,0.68,0.73,0,No,No,Yes,Yes,No,No
1501,2.0,962,1400,2400,3700,469,1487,2707,4296,418,No,300,0.37,0.33,0,No,No,No,Yes,No,No
945,2.0,0,0,0,0,3,12,17,17,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
4,8.0,0,0,0,0,0,0,0,0,0,No,0,0.53,0.53,0,No,No,Yes,Yes,No,No
4,8.0,0,0,0,0,0,0,0,0,0,No,0,0.37,0.34,0,No,No,No,Yes,No,No
23,8.0,0,10,10,10,5,11,30,49,0,No,0,0.0,0.0,0,No,No,No,Yes,No,No
9,8.0,0,4,7,11,6,11,20,25,0,No,0,0.85,0.64,0,No,No,No,Yes,No,No
0,6.0,0,1,1,2,0,0,1,1,0,No,0,0.0,0.0,0,No,No,No,Yes,No,No
5,2.0,0,1,1,1,0,0,0,0,0,No,0,0.83,0.69,0,Yes,No,No,Yes,No,No
34,8.0,0,0,0,0,0,0,0,1,0,No,0,0.95,0.95,0,Yes,No,Yes,Yes,No,No
0,4.0,0,2,2,2,0,0,0,0,0,No,2,0.89,0.9,0,Yes,No,No,Yes,No,No
5,8.0,0,15,25,35,3,9,22,33,0,No,0,0.95,0.77,0,No,No,No,Yes,No,No
4,8.0,0,5,10,15,1,4,7,10,0,No,0,0.91,0.93,0,No,No,Yes,Yes,No,No
131,8.0,0,300,300,300,0,0,0,0,0,No,0,0.91,0.94,0,No,No,No,Yes,No,No
141,8.0,3,100,200,200,8,18,113,225,25,No,0,0.98,0.92,0,No,No,No,Yes,No,No
56,5.0,0,0,0,0,0,0,0,1,2,No,0,0.86,0.75,0,No,No,No,Yes,No,No
10,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
8,2.0,0,3,3,3,0,1,3,3,0,No,0,0.96,0.96,0,No,No,No,Yes,No,No
9,12.0,0,18,27,45,2,10,17,26,4,No,0,0.73,0.7,0,No,No,No,Yes,No,No
14,9.0,0,0,14,21,7,17,29,43,5,No,0,0.99,0.99,0,No,No,No,Yes,No,No
71,8.0,4,112,196,280,19,82,176,284,35,No,28,0.93,0.89,0,No,No,No,Yes,No,No
205,8.0,16,0,0,0,22,46,90,143,30,No,0,0.98,0.96,0,No,No,No,Yes,No,No
104,8.0,3,110,215,341,27,105,257,377,44,No,15,0.75,0.67,0,No,No,No,Yes,No,No
4,8.0,0,4,8,12,1,6,9,12,0,No,0,1.0,1.0,0,No,No,No,Yes,No,No
10,17.0,0,0,0,1,1,3,5,8,0,No,0,0.82,0.82,0,No,No,No,Yes,No,No
64,8.0,32,107,211,263,30,102,164,270,39,No,0,1.0,0.98,0,No,No,No,Yes,No,No
7,4.0,0,1,1,1,0,0,0,0,0,No,1,0.73,0.78,0,Yes,No,No,Yes,No,No
1,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
0,8.0,0,5,5,5,0,0,0,0,0,No,0,0.95,0.97,0,Yes,No,Yes,Yes,No,No
442,10.0,194,389,769,1149,101,375,875,1307,140,No,78,0.77,0.84,0,No,No,No,Yes,No,No
0,12.0,0,10,10,10,0,0,0,0,0,No,10,0.57,0.68,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,No,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
2,8.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
8,8.0,0,0,6,13,0,0,0,0,0,No,0,1.0,0.98,0,No,No,No,Yes,No,No
3,2.0,0,5,10,15,1,6,11,16,0,No,0,0.83,0.85,0,No,No,No,Yes,No,No
3,2.0,0,3,6,9,0,3,7,8,0,No,0,0.96,0.9,0,No,No,No,Yes,No,No
7,2.0,0,15,21,30,1,8,15,23,2,No,0,0.94,0.96,0,No,No,No,Yes,No,No
1990,8.0,0,0,0,0,0,5,5,5,2,No,0,-99.0,-99.0,0,Yes,No,No,No,No,No
850,8.0,0,0,290,580,10,146,402,779,181,No,0,1.0,1.0,0,No,No,No,Yes,No,No
164,8.0,0,0,0,0,0,0,0,0,0,No,0,1.0,1.0,0,No,No,No,Yes,No,No
3,9.0,0,0,0,0,0,0,0,0,1,No,0,0.54,0.48,0,No,No,No,Yes,No,No
47,8.0,0,81,161,221,20,63,173,264,76,No,11,0.86,0.88,0,No,No,No,Yes,No,No
31,8.0,0,0,0,0,0,0,0,0,2,No,0,0.35,0.52,0,No,No,No,Yes,No,No
22,2.0,0,50,100,100,11,38,71,100,0,No,0,1.0,0.99,0,No,No,No,Yes,No,No
131,9.0,25,124,216,285,31,88,188,287,22,No,15,0.85,0.82,0,Yes,No,Yes,Yes,No,No
133,8.0,6,78,130,130,19,64,102,155,17,No,0,0.97,0.94,0,Yes,No,No,No,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
0,2.0,0,13,19,19,0,0,0,0,1,No,0,0.79,0.71,0,Yes,No,No,Yes,No,No
105,2.0,20,117,253,321,38,126,229,318,34,No,0,0.92,0.94,0,No,No,No,Yes,No,No
7,8.0,0,6,14,20,3,9,18,33,3,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3,2.0,0,26,26,39,12,23,39,77,0,No,12,0.81,0.82,0,No,No,No,Yes,No,No
166,2.0,18,1004,1696,2366,193,628,1319,1981,162,No,39,0.33,0.32,0,No,No,No,Yes,No,Yes
154,8.0,1,310,550,813,96,296,523,752,142,No,0,0.97,0.98,0,No,No,No,Yes,No,No
131,2.0,0,0,0,0,1,2,3,5,1,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
35,10.0,0,84,168,252,18,45,78,105,34,No,28,0.77,0.84,0,No,No,Yes,Yes,No,No
146,8.0,0,0,0,0,0,11,14,20,0,No,0,0.25,0.31,0,No,No,Yes,Yes,No,No
15,8.0,12,14,14,24,1,12,27,38,4,No,0,1.0,0.99,0,No,No,No,Yes,No,No
5,9.0,0,4,8,10,1,8,14,15,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
1,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
2,8.0,0,109,109,109,1,6,12,16,0,No,0,0.5,0.52,0,Yes,No,No,No,No,No
4,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No,No
475,2.0,0,0,0,0,21,207,396,428,7,No,0,0.56,0.68,0,Yes,No,No,Yes,No,No
2,2.0,0,8,14,20,3,6,9,10,1,No,1,0.75,0.43,0,No,No,No,Yes,No,Yes
3,12.0,0,0,0,1,0,1,1,1,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
98,8.0,12,972,972,972,18,71,123,170,16,No,0,0.5,0.52,0,Yes,No,No,No,No,No
7,8.0,0,0,0,0,0,0,0,0,1,No,0,0.1,0.11,0,No,No,No,Yes,No,No
3,2.0,0,0,0,0,0,0,0,1,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1,,0,0,0,0,7,15,30,133,12,No,0,-99.0,-99.0,0,No,No,No,No,No,No
10,8.0,6,0,0,5,1,3,15,20,0,No,0,0.88,0.89,0,No,No,No,Yes,No,No
56,8.0,35,229,380,517,52,162,315,523,42,No,14,0.18,0.38,0,No,No,No,Yes,No,No
6,8.0,4,3,3,3,1,3,8,14,0,No,0,1.0,0.98,0,No,No,No,Yes,No,No
2,52.0,0,0,0,0,0,0,1,1,1,No,0,0.0,0.0,0,Yes,No,No,Yes,No,No
312,2.0,121,630,1170,1710,146,496,1004,1457,129,No,120,0.97,0.94,0,No,No,No,Yes,No,No
22,12.0,1,99,138,190,21,87,168,285,0,No,3,0.11,0.13,0,No,No,No,Yes,No,No
0,8.0,0,5,5,5,0,0,0,0,0,No,0,0.37,0.34,0,No,No,No,Yes,No,No
23,12.0,0,2,3,5,1,3,37,50,0,No,1,0.84,0.82,0,No,No,No,Yes,No,No
10,4.0,4,0,0,3,0,1,17,17,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
0,2.0,0,13,14,14,0,0,0,0,0,No,10,0.0,0.05,0,Yes,No,No,Yes,No,No
4,4.0,4,2,6,10,1,5,10,11,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
211,2.0,52,766,1508,2282,197,704,1199,1564,209,No,128,0.98,0.98,0,No,No,No,Yes,No,No
465,2.0,0,0,0,0,0,0,0,10,1,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No,No
4,9.0,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
8,8.0,0,0,0,0,0,0,0,0,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
18,8.0,0,0,0,0,0,0,0,0,0,No,0,0.85,0.92,0,No,No,No,Yes,No,No
2351,4.0,720,1575,4140,7290,1629,4427,7152,9476,799,No,225,0.55,0.66,0,No,No,No,No,No,No
10,8.0,0,0,0,0,0,0,0,0,0,No,0,0.0,0.79,0,No,No,Yes,Yes,No,No
354,8.0,0,0,0,0,0,0,0,0,0,No,0,0.86,0.91,0,No,No,No,Yes,No,No
37,8.0,0,0,0,0,0,0,1,1,0,No,0,0.68,0.49,0,No,No,No,Yes,No,No
4,8.0,0,0,0,0,0,0,0,0,2,No,0,0.96,0.98,0,No,No,No,Yes,No,No
0,4.0,4,3,3,3,0,0,0,0,0,No,1,0.73,0.78,0,No,No,No,Yes,No,No
183,8.0,0,0,0,0,0,1,1,1,1,No,0,0.72,0.6,0,No,No,No,Yes,No,No
1472,8.0,653,3800,6000,7800,810,2484,4257,7298,1564,No,200,0.94,0.94,0,No,No,No,Yes,No,No
2,12.0,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
256,8.0,10,159,329,466,43,153,370,579,41,No,28,0.88,0.91,0,No,No,No,Yes,No,No
46,8.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.94,0,No,No,No,Yes,No,No
16,8.0,0,40,40,40,0,0,0,0,0,No,0,0.5,0.52,0,Yes,No,No,No,No,No
4,2.0,3,19,43,63,1,12,31,53,3,No,3,0.9,0.93,0,No,No,No,Yes,No,No
8,2.0,0,27,27,43,1,7,18,39,0,No,11,0.78,0.86,0,No,No,No,Yes,No,No
2,12.0,0,4,5,5,0,0,1,1,0,No,0,0.73,0.79,0,Yes,No,No,Yes,No,No
2,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
42,2.0,0,0,0,0,0,2,5,7,0,No,0,0.73,0.76,0,No,No,No,Yes,No,No
359,8.0,47,1121,1780,2304,487,1181,1960,2891,279,No,0,0.75,0.88,0,No,No,No,Yes,No,No
11,8.0,1,15,25,40,0,3,15,26,4,No,1,0.84,0.86,0,No,No,No,Yes,No,No
56,10.0,6,156,247,351,47,153,288,440,93,No,13,0.95,0.97,0,No,No,No,Yes,No,No
7,4.0,0,0,0,0,1,2,3,5,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
8,8.0,0,0,0,0,0,0,1,4,2,No,0,0.98,0.99,0,Yes,No,No,Yes,No,No
6,52.0,0,0,0,0,0,0,0,0,1,No,0,0.92,0.78,0,Yes,No,No,Yes,No,No
14,2.0,0,0,0,0,0,0,0,0,1,No,0,0.97,0.96,0,No,No,No,Yes,No,No
22,8.0,0,0,0,0,0,0,0,0,0,No,0,0.83,0.86,0,Yes,No,No,Yes,No,No
6,2.0,0,0,0,0,0,3,3,3,1,No,0,0.99,0.96,0,Yes,No,No,Yes,No,No
413,8.0,5,173,422,613,32,133,438,690,72,No,20,0.37,0.33,0,No,No,No,Yes,No,No
4,52.0,0,0,0,0,0,0,0,0,1,No,0,0.99,0.99,0,Yes,No,Yes,Yes,No,No
1,2.0,0,0,0,1,0,0,0,1,0,No,0,0.97,0.96,0,No,No,No,Yes,No,No
819,8.0,72,0,560,560,113,355,740,1171,133,No,0,0.99,0.99,0,No,No,No,Yes,No,No
8,8.0,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
304,8.0,15,0,0,0,15,58,108,164,18,No,0,0.81,0.56,0,No,No,No,Yes,No,No
536,2.0,0,703,1372,2101,23,268,362,514,91,No,334,0.9,0.94,0,No,No,No,Yes,No,No
